batch,position,company_name
32,2,"HDR | Bradbrook Consulting"
32,3,"ROOFING MAINTENANCE SERVICES LIMITED"
32,4,"Connect Plus"
32,5,"H & C CONTRACTS LIMITED"
32,6,"Cool Systems Air Conditioning Limited"
32,7,"Mayer Brown Ltd"
32,8,"BCS Group"
32,9,"Marshalls Civils & Drainage"
32,10,"Naz Construction Ltd"
32,11,"E.J.Taylor & Sons Ltd"
32,12,"ASHLANE GROUP LIMITED"
32,13,"Solihull Metropolitan Borough Council"
32,14,"Maidstone Borough Council"
32,15,"Canterbury City Council"
32,16,"NHSE and DHSC Student Analyst Undergraduate Placement Scheme"
32,17,"East Sussex County Council"
32,18,"MOLLY MAID"
32,19,"Guernsey Kidney Patients Association"
32,20,"Endeavor Ireland"
32,21,"Durham University Centre for Research into Violence and Abuse (CRiVA)"
32,22,"University of Birmingham MathSoc"
32,23,"UK Universities Climate Network"
32,24,"Sport at Staffs"
32,25,"Snap Fitness Market Harborough"
33,1,"The Rank Group plc"
33,2,"The Stars Group"
33,3,"Snap Fitness Ilkeston"
33,4,"Nuffield Health Fitness & Wellbeing - Chester"
33,5,"The Fitness Centre at Durham University"
33,6,"Lapworth Museum of Geology"
33,7,"Durham University Basketball Club"
33,8,"THE OLD SCHOOL LIMITED"
33,9,"The Trilogy Studio"
33,10,"Ecotricity"
33,11,"Electricity Alliance West"
33,12,"Mainlight Ltd"
33,13,"ista Energy UK"
33,14,"GTC"
33,15,"Biogen (UK) Ltd"
33,16,"National Gas Metering"
33,17,"Pedagogy and Education Research Unit, School of Psychology & Neuroscience"
33,18,"Oral Sciences Research Group"
33,19,"Young Strathclyder Programme"
33,20,"Managing Art & Cultural Heritage in Global Markets"
33,21,"Glasgow Centre for Sustainable Energy"
33,22,"The Strathclyde Institute for Sustainable Communities (SISC)"
33,23,"Maritime Safety Research Centre - University of Strathclyde"
33,24,"University of Glasgow, Materials and Condensed Matter Physics Group"
33,25,"SOLSPACE"
34,1,"Centre for Medical and Industrial Ultrasonics (C-MIU)"
34,2,"HEHTA University of Glasgow"
34,3,"James Weir Fluids Laboratory"
34,4,"Leviton Network Solutions Europe"
34,5,"Tag Games, a Scopely Studio"
34,6,"Aerospace Centre of Excellence"
34,7,"HATII at the University of Glasgow"
34,8,"TIC Conferences, Meetings & Events"
34,9,"TH PROJECTS LTD"
34,10,"Tesco Insurance and Money Services"
34,11,"Tweed Financial Planning ltd"
34,12,"Scottish Widows Investment Partnership"
34,13,"Schroder Uk Mid Cap Fund Plc"
34,14,"Glasgow Computational Engineering Centre"
34,15,"Signal of Glasgow"
34,16,"Glasgow University Environmental Sustainability Team"
34,17,"Samtaler (The Social Value Agency)"
34,18,"MITSUBISHI ELECTRIC AIR CONDITIONING SYSTEMS EUROPE LTD."
34,19,"Critical Technologies Accelerator"
34,20,"ANDRITZ Hydro Hammerfest"
34,21,"Bangor University"
34,22,"Newport Youth Academy"
34,23,"Newport City Council"
34,24,"NCE Group"
34,25,"Anchor Computer Systems Ltd"
35,1,"Oyster Bay Systems Limited"
35,2,"Animal Friends"
35,3,"Chartered Banker Institute"
35,4,"BURLINGTON FABRICS LIMITED"
35,5,"PROTHERICS UK LIMITED"
35,6,"Food and Drink Wales Industry Board"
